paper,panel,item,value,metric,source_locator,interpretation_boundary
MoralBench,MFQ binary,Zephyr,54.2,raw total,Table 1,Paper score; not comparable to local normalized preference
MoralBench,MFQ binary,LLaMA-2,58.5,raw total,Table 1,Paper score; not comparable to local normalized preference
MoralBench,MFQ binary,Gemma-1.1,49.9,raw total,Table 1,Paper score; not comparable to local normalized preference
MoralBench,MFQ binary,GPT-3.5,54.7,raw total,Table 1,Paper score; not comparable to local normalized preference
MoralBench,MFQ binary,GPT-4,56.6,raw total,Table 1,Paper score; not comparable to local normalized preference
MoralBench,Vignette binary,Zephyr,48.1,raw total,Table 1,Paper score; not comparable to local normalized preference
MoralBench,Vignette binary,LLaMA-2,52.6,raw total,Table 1,Paper score; not comparable to local normalized preference
MoralBench,Vignette binary,Gemma-1.1,44.4,raw total,Table 1,Displayed total used; six printed subscores sum to 51.8; not comparable to local normalized preference
MoralBench,Vignette binary,GPT-3.5,50.3,raw total,Table 1,Paper score; not comparable to local normalized preference
MoralBench,Vignette binary,GPT-4,52.8,raw total,Table 1,Paper score; not comparable to local normalized preference
MoralBench,MFQ comparison,Zephyr,8.2,correct points,Table 2,Paper score; no confidence intervals reported
MoralBench,MFQ comparison,LLaMA-2,8.0,correct points,Table 2,Paper score; no confidence intervals reported
MoralBench,MFQ comparison,Gemma-1.1,9.6,correct points,Table 2,Paper score; no confidence intervals reported
MoralBench,MFQ comparison,GPT-3.5,12.4,correct points,Table 2,Paper score; no confidence intervals reported
MoralBench,MFQ comparison,GPT-4,9.8,correct points,Table 2,Paper score; no confidence intervals reported
MoralBench,Vignette comparison,Zephyr,10.4,correct points,Table 2,Paper score; no confidence intervals reported
MoralBench,Vignette comparison,LLaMA-2,13.2,correct points,Table 2,Paper score; no confidence intervals reported
MoralBench,Vignette comparison,Gemma-1.1,10.8,correct points,Table 2,Paper score; no confidence intervals reported
MoralBench,Vignette comparison,GPT-3.5,14.2,correct points,Table 2,Paper score; no confidence intervals reported
MoralBench,Vignette comparison,GPT-4,13.8,correct points,Table 2,Paper score; no confidence intervals reported
UniMoral,RQ1 AP weighted F1 range,Lower,0.5057,weighted F1,Appendix Table 4,Llama-only range across displayed language and cue conditions; not a no-cue baseline
UniMoral,RQ1 AP weighted F1 range,Upper,0.6617,weighted F1,Appendix Table 4,Llama-only range across displayed language and cue conditions; not a no-cue baseline
UniMoral,RQ2 MTC weighted F1 range,Lower,0.1742,weighted F1,Appendix Table 5,Llama-only range across displayed language and cue conditions; local metric is accuracy
UniMoral,RQ2 MTC weighted F1 range,Upper,0.5701,weighted F1,Appendix Table 5,Llama-only range across displayed language and cue conditions; local metric is accuracy
UniMoral,RQ3 FAA weighted F1 range,Lower,0.0630,weighted F1,Appendix Table 6,Llama-only range across displayed language and cue conditions; local metric is accuracy
UniMoral,RQ3 FAA weighted F1 range,Upper,0.3859,weighted F1,Appendix Table 6,Llama-only range across displayed language and cue conditions; local metric is accuracy
UniMoral,RQ4 consequence derived mean,BLEU,0.0138,derived unweighted mean,Appendix Table 7,Llama-only value derived from six displayed language cells; the paper does not report this aggregate or evaluation N
UniMoral,RQ4 consequence derived mean,METEOR,0.0968,derived unweighted mean,Appendix Table 7,Llama-only value derived from six displayed language cells; the paper does not report this aggregate or evaluation N
UniMoral,RQ4 consequence derived mean,BERTScore,0.7193,derived unweighted mean,Appendix Table 7,Llama-only value derived from six displayed language cells; encoder and package versions are unpinned
