model,model_display,total_parameters_b,activated_parameters_b,parameter_label,architecture,source_url,source_revision,parameter_basis,run_identity_scope,checked_on
qwen/qwen3-8b,Qwen3-8B,8.2,,8.2B total,dense,https://huggingface.co/Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,published named-model count,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
qwen/qwen3-32b,Qwen3-32B,32.8,,32.8B total,dense,https://huggingface.co/Qwen/Qwen3-32B,9216db5781bf21249d130ec9da846c4624c16137,published named-model count,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
qwen/qwen3-235b-a22b-2507,Qwen3-235B-A22B (2507),235,22,235B total / 22B active,MoE,https://huggingface.co/Qwen/Qwen3-235B-A22B-Instruct-2507,ac9c66cc9b46af7306746a9250f23d47083d689e,published named-model count,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
google/gemma-3-4b-it,Gemma 3-4B-IT,4,,4B total,dense,https://huggingface.co/google/gemma-3-4b-it,093f9f388b31de276ce2de164bdc2081324b9767,published named-model count,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
google/gemma-3-12b-it,Gemma 3-12B-IT,12,,12B total,dense,https://huggingface.co/google/gemma-3-12b-it,96b6f1eccf38110c56df3a15bffe176da04bfd80,published named-model count,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
google/gemma-3-27b-it,Gemma 3-27B-IT,27,,27B total,dense,https://huggingface.co/google/gemma-3-27b-it,005ad3404e59d6023443cb575daa05336842228a,published named-model count,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
meta-llama/llama-3.2-3b-instruct,Llama 3.2-3B Instruct,3,,3B total,dense,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,published named-model count,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
meta-llama/llama-3.1-8b-instruct,Llama 3.1-8B Instruct,8,,8B total,dense,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,0e9e39f249a16976918f6564b8830bc894c89659,published named-model count,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
meta-llama/llama-3.3-70b-instruct,Llama 3.3-70B Instruct,70,,70B total,dense,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,6f6073b423013f6a7d4d9f39144961bfbfbc386b,published named-model count,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
qwen/qwen-2.5-7b-instruct,Qwen2.5-7B Instruct,7.61,,7.61B total,dense,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,published named-model count,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
qwen/qwen3.5-9b,Qwen3.5-9B,9,,9B total,dense,https://huggingface.co/Qwen/Qwen3.5-9B,c202236235762e1c871ad0ccb60c8ee5ba337b9a,published named-model count,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
deepseek/deepseek-chat-v3-0324,DeepSeek V3-0324,671,37,671B main model / 37B active,MoE,https://huggingface.co/deepseek-ai/DeepSeek-V3-0324,e9b33add76883f293d6bf61f6bd89b497e80e335,vendor-published main-model count; auxiliary/MTP weights excluded,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
deepseek/deepseek-chat-v3.1,DeepSeek V3.1,671,37,671B main model / 37B active,MoE,https://huggingface.co/deepseek-ai/DeepSeek-V3.1,c0781d039fb7a1ba2abc4add0bdc293e92d2b8db,vendor-published main-model count; auxiliary/MTP weights excluded,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
deepseek/deepseek-v3.2,DeepSeek V3.2,671,37,671B main model / 37B active,MoE,https://huggingface.co/deepseek-ai/DeepSeek-V3.2,a7e62ac04ecb2c0a54d736dc46601c5606cf10a6,vendor-published main-model count; auxiliary/MTP weights excluded,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
deepseek/deepseek-v4-flash,DeepSeek V4 Flash,284,13,284B main model / 13B active,MoE,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,60d8d70770c6776ff598c94bb586a859a38244f1,vendor-published main-model count; auxiliary/MTP weights excluded,"named-model specification only; served provider endpoint, quantization, and checkpoint revision not retained",2026-09-03
