model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,reasoning_tokens_actual,actual_cost_usd,actual_cost_method,error,task_label,evidence_status,source_repository_head,source_path
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.4527550091074681,8784,1721258,562176,0.777127,0.2,0.77,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-chat-v3-0324/unimoral_action_prediction/2026-05-28T18-29-53-00-00_unimoral-action-prediction_YAHH59Cp42j5tfJJhiWmYi.eval,accuracy,8784.0,8784.0,1949847,54110,0,0.431634,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral action,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.660063752276867,8784,1721258,562176,0.805583,0.21,0.79,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-chat-v3.1/unimoral_action_prediction/2026-05-28T20-44-32-00-00_unimoral-action-prediction_isvfhwxo3Vt4rK8ee6iUuh.eval,accuracy,8784.0,8784.0,2164427,49902,0,0.493952,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral action,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.6456056466302368,8784,1721258,562176,0.64626,0.252,0.378,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-v3.2/unimoral_action_prediction/2026-05-28T22-40-41-00-00_unimoral-action-prediction_mkR7v8rM56yvMhdESyrqeo.eval,accuracy,8784.0,8784.0,1867611,49688,0,0.48942,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral action,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.639344262295082,8784,1721258,562176,0.284561,0.1,0.2,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-v4-flash/unimoral_action_prediction/2026-05-29T01-44-40-00-00_unimoral-action-prediction_5XbokzaVqDmK2BD5ocNNjp.eval,accuracy,8784.0,8784.0,1988023,291940,244160,0.306022,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral action,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.1195314911325206,1782,309888,912384,0.764513,0.2,0.77,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-chat-v3-0324/unimoral_consequence_generation/2026-05-28T18-51-25-00-00_unimoral-consequence-generation_QiFdQZT2amuisbxw6a5dkn.eval,mean,1782.0,1782.0,362663,64909,0,0.122513,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral consequence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.1009724840528312,1782,309888,912384,0.78586,0.21,0.79,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-chat-v3.1/unimoral_consequence_generation/2026-05-28T21-11-44-00-00_unimoral-consequence-generation_babZoVqc83KA3P5eG6cX4L.eval,mean,1782.0,1782.0,391327,80282,0,0.145601,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral consequence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.1182888490585322,1782,309888,912384,0.422973,0.252,0.378,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-v3.2/unimoral_consequence_generation/2026-05-28T23-11-51-00-00_unimoral-consequence-generation_EtEaQ3vNF64hpo5UUUxReJ.eval,mean,1782.0,1782.0,343311,85074,0,0.118672,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral consequence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.1385167738629878,1782,309888,912384,0.213466,0.1,0.2,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-v4-flash/unimoral_consequence_generation/2026-05-29T02-22-17-00-00_unimoral-consequence-generation_P2VrCEMv2krkCYACDM55b7.eval,mean,1782.0,1782.0,383393,120970,35201,0.069574,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral consequence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.6291523482245132,3492,936335,1787904,1.563953,0.2,0.77,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-chat-v3-0324/unimoral_factor_attribution/2026-05-28T18-45-57-00-00_unimoral-factor-attribution_LNoHoUhMBRCF9xHEDBtQXu.eval,accuracy,3492.0,3492.0,1026754,25261,0,0.224802,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral factor,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5985108820160366,3492,936335,1787904,1.609075,0.21,0.79,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/deepseek__deepseek-chat-v3.1/unimoral_factor_attribution/2026-05-28T21-07-13-00-00_unimoral-factor-attribution_AmCgkLmF4DXGUgb6P6qtn3.eval,accuracy,3492.0,3492.0,1123693,19883,0,0.251683,input + output + reasoning tokens at OpenRouter metadata rates,,UniMoral factor,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
