model,task,membership_status
claude-haiku-4-5,moralbench_mfq_agreement,overlap
claude-haiku-4-5,moralbench_mfq_compare,overlap
claude-haiku-4-5,moralbench_vignette_agreement,overlap
claude-haiku-4-5,moralbench_vignette_compare,overlap
claude-haiku-4-5,unimoral_action_prediction,overlap
claude-haiku-4-5,unimoral_consequence_generation,overlap
claude-haiku-4-5,unimoral_factor_attribution,overlap
claude-haiku-4-5,unimoral_moral_typology,overlap
claude-opus-4-8,moralbench_mfq_agreement,overlap
claude-opus-4-8,moralbench_mfq_compare,overlap
claude-opus-4-8,moralbench_vignette_agreement,overlap
claude-opus-4-8,moralbench_vignette_compare,overlap
claude-opus-4-8,unimoral_action_prediction,missing_from_checked_in_ci
claude-opus-4-8,unimoral_consequence_generation,overlap
claude-opus-4-8,unimoral_factor_attribution,overlap
claude-opus-4-8,unimoral_moral_typology,overlap
claude-sonnet-4-6,moralbench_mfq_agreement,overlap
claude-sonnet-4-6,moralbench_mfq_compare,stale_row_not_current_primary
claude-sonnet-4-6,moralbench_vignette_agreement,stale_row_not_current_primary
claude-sonnet-4-6,moralbench_vignette_compare,overlap
claude-sonnet-4-6,unimoral_action_prediction,stale_row_not_current_primary
claude-sonnet-4-6,unimoral_consequence_generation,overlap
claude-sonnet-4-6,unimoral_factor_attribution,overlap
claude-sonnet-4-6,unimoral_moral_typology,overlap
deepseek-v4-flash,moralbench_mfq_agreement,missing_from_checked_in_ci
deepseek-v4-flash,moralbench_mfq_compare,missing_from_checked_in_ci
deepseek-v4-flash,moralbench_vignette_agreement,missing_from_checked_in_ci
deepseek-v4-flash,moralbench_vignette_compare,missing_from_checked_in_ci
deepseek-v4-flash,unimoral_action_prediction,overlap
deepseek-v4-flash,unimoral_consequence_generation,overlap
deepseek-v4-flash,unimoral_factor_attribution,overlap
gemma-4-31b-it,moralbench_mfq_agreement,overlap
gemma-4-31b-it,moralbench_mfq_compare,stale_row_not_current_primary
gemma-4-31b-it,moralbench_vignette_agreement,overlap
gemma-4-31b-it,moralbench_vignette_compare,overlap
gemma-4-31b-it,unimoral_action_prediction,overlap
gemma-4-31b-it,unimoral_consequence_generation,overlap
gemma-4-31b-it,unimoral_factor_attribution,overlap
gemma-4-31b-it,unimoral_moral_typology,overlap
glm-5.2,moralbench_mfq_agreement,overlap
glm-5.2,moralbench_mfq_compare,overlap
glm-5.2,moralbench_vignette_agreement,overlap
glm-5.2,moralbench_vignette_compare,overlap
glm-5.2,unimoral_consequence_generation,overlap
glm-5.2,unimoral_factor_attribution,overlap
gpt-5.4,moralbench_mfq_agreement,overlap
gpt-5.4,moralbench_mfq_compare,overlap
gpt-5.4,moralbench_vignette_agreement,overlap
gpt-5.4,moralbench_vignette_compare,overlap
gpt-5.4,unimoral_action_prediction,overlap
gpt-5.4,unimoral_consequence_generation,overlap
gpt-5.4,unimoral_factor_attribution,overlap
gpt-5.4,unimoral_moral_typology,overlap
gpt-5.4-mini,moralbench_mfq_agreement,overlap
gpt-5.4-mini,moralbench_mfq_compare,overlap
gpt-5.4-mini,moralbench_vignette_agreement,overlap
gpt-5.4-mini,moralbench_vignette_compare,overlap
gpt-5.4-mini,unimoral_action_prediction,overlap
gpt-5.4-mini,unimoral_consequence_generation,overlap
gpt-5.4-mini,unimoral_factor_attribution,overlap
gpt-5.4-mini,unimoral_moral_typology,overlap
kimi-k2.6,moralbench_mfq_agreement,stale_row_not_current_primary
kimi-k2.6,moralbench_mfq_compare,overlap
kimi-k2.6,moralbench_vignette_agreement,stale_row_not_current_primary
kimi-k2.6,moralbench_vignette_compare,overlap
llama-4-scout,moralbench_mfq_agreement,stale_row_not_current_primary
llama-4-scout,moralbench_mfq_compare,stale_row_not_current_primary
llama-4-scout,moralbench_vignette_agreement,stale_row_not_current_primary
llama-4-scout,unimoral_action_prediction,overlap
llama-4-scout,unimoral_consequence_generation,overlap
llama-4-scout,unimoral_factor_attribution,overlap
llama-4-scout,unimoral_moral_typology,overlap
mistral-small-3.2-24b,moralbench_mfq_agreement,overlap
mistral-small-3.2-24b,moralbench_mfq_compare,stale_row_not_current_primary
mistral-small-3.2-24b,moralbench_vignette_agreement,overlap
mistral-small-3.2-24b,moralbench_vignette_compare,stale_row_not_current_primary
mistral-small-3.2-24b,unimoral_action_prediction,overlap
mistral-small-3.2-24b,unimoral_consequence_generation,overlap
mistral-small-3.2-24b,unimoral_factor_attribution,overlap
mistral-small-3.2-24b,unimoral_moral_typology,overlap
qwen3-235b-thinking,unimoral_action_prediction,overlap
qwen3-8b,moralbench_mfq_agreement,overlap
qwen3-8b,moralbench_mfq_compare,overlap
qwen3-8b,moralbench_vignette_agreement,overlap
qwen3-8b,moralbench_vignette_compare,overlap
qwen3-8b,unimoral_action_prediction,overlap
qwen3-8b,unimoral_consequence_generation,overlap
qwen3-8b,unimoral_factor_attribution,overlap
qwen3-8b,unimoral_moral_typology,overlap
