model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,reasoning_tokens_actual,actual_cost_usd,actual_cost_method,error
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6490209471766849,8784,1721258,562176,0.310933,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-8b/unimoral_action_prediction/2026-05-28T00-25-37-00-00_unimoral-action-prediction_NFxrb2XQrNWv5AHpxBFCPt.eval,accuracy,8784,8784,2728591,43965,0,0.154016,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.563573883161512,3492,846863,1787904,0.757505,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-8b/unimoral_moral_typology/2026-05-28T00-37-19-00-00_unimoral-moral-typology_5RZhXpsUPXUXeHa7f4dvxe.eval,accuracy,3492,3492,1270150,24331,0,0.073240,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5538373424971363,3492,936335,1787904,0.761978,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-8b/unimoral_factor_attribution/2026-05-28T00-41-04-00-00_unimoral-factor-attribution_aNTgc7ipNf6D9xXXQD22tU.eval,accuracy,3492,3492,1364467,19187,0,0.075898,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.11282332928617327,1782,309888,912384,0.380448,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-8b/unimoral_consequence_generation/2026-05-28T00-44-47-00-00_unimoral-consequence-generation_6KCN9uDdezFYKs5DwSbmhV.eval,mean,1782,1782,497055,75650,0,0.055113,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,ValuePrism,value_prism_relevance,accuracy,,43680,1428299,1048320,0.490743,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,error,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-8b/value_prism_relevance/2026-05-28T00-47-07-00-00_value-prism-relevance_P4CLzPtMDksnhDyymxoMtP.eval,,,,1115378,41303,0,0.072290,input + output + reasoning tokens at OpenRouter metadata rates,subprocess exited 2; see eval log
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,ValuePrism,value_prism_valence,accuracy,,21840,954173,698880,0.327261,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,Closest feasible prompt-classification route; not Kaleido model replication.,error,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-8b/value_prism_valence/2026-05-28T01-07-57-00-00_value-prism-valence_9n3u2sT2ZaEdSTcTEtJkgR.eval,,,,681645,15214,0,0.040168,input + output + reasoning tokens at OpenRouter metadata rates,subprocess exited 2; see eval log
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,2182,761659,174560,0.107907,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-8b/ccd_bench_selection/2026-05-28T01-16-53-00-00_ccd-bench-selection_HJER8SWZsoBrSmK2E6WUpf.eval,mean,2182,2182,807826,106424,0,0.082961,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.4793943533697632,8784,1721258,562176,0.295110,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-32b/unimoral_action_prediction/2026-05-28T01-20-06-00-00_unimoral-action-prediction_nktuAMNS32rN9i7opzNkiZ.eval,accuracy,8784,8784,2710386,71076,11566,0.239971,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.5967926689576174,3492,846863,1787904,0.568362,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-32b/unimoral_moral_typology/2026-05-28T01-32-22-00-00_unimoral-moral-typology_MALvWjhCtq8kp4ucUhZn23.eval,accuracy,3492,3492,1263104,33301,4393,0.111603,input + output + reasoning tokens at OpenRouter metadata rates,
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.6073883161512027,3492,936335,1787904,0.575520,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-32b/unimoral_factor_attribution/2026-05-28T01-35-04-00-00_unimoral-factor-attribution_79rnRB8NFvoc3oXCYGfsXY.eval,accuracy,3492,3492,1359252,30252,4353,0.118430,input + output + reasoning tokens at OpenRouter metadata rates,
