model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,reasoning_tokens_actual,actual_cost_usd,actual_cost_method,error,tier,task_label,evidence_status,source_repository_head,source_path
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6490209471766849,8784,1721258,562176,0.310933,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-8b/unimoral_action_prediction/2026-05-28T00-25-37-00-00_unimoral-action-prediction_NFxrb2XQrNWv5AHpxBFCPt.eval,accuracy,8784.0,8784.0,2728591,43965,0,0.154016,input + output + reasoning tokens at OpenRouter metadata rates,,S,UniMoral action,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.563573883161512,3492,846863,1787904,0.757505,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-8b/unimoral_moral_typology/2026-05-28T00-37-19-00-00_unimoral-moral-typology_5RZhXpsUPXUXeHa7f4dvxe.eval,accuracy,3492.0,3492.0,1270150,24331,0,0.07324,input + output + reasoning tokens at OpenRouter metadata rates,,S,UniMoral typology,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5538373424971363,3492,936335,1787904,0.761978,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-8b/unimoral_factor_attribution/2026-05-28T00-41-04-00-00_unimoral-factor-attribution_aNTgc7ipNf6D9xXXQD22tU.eval,accuracy,3492.0,3492.0,1364467,19187,0,0.075898,input + output + reasoning tokens at OpenRouter metadata rates,,S,UniMoral factor,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3-8b,Qwen,S/8B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.1128233292861732,1782,309888,912384,0.380448,0.05,0.4,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-8b/unimoral_consequence_generation/2026-05-28T00-44-47-00-00_unimoral-consequence-generation_6KCN9uDdezFYKs5DwSbmhV.eval,mean,1782.0,1782.0,497055,75650,0,0.055113,input + output + reasoning tokens at OpenRouter metadata rates,,S,UniMoral consequence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.4793943533697632,8784,1721258,562176,0.29511,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-32b/unimoral_action_prediction/2026-05-28T01-20-06-00-00_unimoral-action-prediction_nktuAMNS32rN9i7opzNkiZ.eval,accuracy,8784.0,8784.0,2710386,71076,11566,0.239971,input + output + reasoning tokens at OpenRouter metadata rates,,M,UniMoral action,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.5967926689576174,3492,846863,1787904,0.568362,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-32b/unimoral_moral_typology/2026-05-28T01-32-22-00-00_unimoral-moral-typology_MALvWjhCtq8kp4ucUhZn23.eval,accuracy,3492.0,3492.0,1263104,33301,4393,0.111603,input + output + reasoning tokens at OpenRouter metadata rates,,M,UniMoral typology,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_factor_attribution,accuracy,0.6073883161512027,3492,936335,1787904,0.57552,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-32b/unimoral_factor_attribution/2026-05-28T01-35-04-00-00_unimoral-factor-attribution_79rnRB8NFvoc3oXCYGfsXY.eval,accuracy,3492.0,3492.0,1359252,30252,4353,0.11843,input + output + reasoning tokens at OpenRouter metadata rates,,M,UniMoral factor,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3-32b,Qwen,M/32B,2025-Q2,within-family scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.1195117327084624,1782,309888,912384,0.280259,0.08,0.28,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-32b/unimoral_consequence_generation/2026-05-28T01-37-38-00-00_unimoral-consequence-generation_LEAA7R2iZ89mtKFpzTPLVy.eval,mean,1782.0,1782.0,493363,86470,2242,0.064308,input + output + reasoning tokens at OpenRouter metadata rates,,M,UniMoral consequence,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_action_prediction,accuracy,0.6342213114754098,8784,1721258,562176,0.178427,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-235b-a22b-2507/unimoral_action_prediction/2026-05-28T02-15-50-00-00_unimoral-action-prediction_37JKMwkHxfks2WHQ8FhYt5.eval,accuracy,8784.0,8784.0,2740978,58526,0,0.200462,input + output + reasoning tokens at OpenRouter metadata rates,,L,UniMoral action,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
qwen/qwen3-235b-a22b-2507,Qwen,L/MoE 235B-A22B,2025-Q3,within-family scaling,UniMoral,unimoral_moral_typology,accuracy,0.5211912943871707,3492,846863,1787904,0.238918,0.071,0.1,default /no_think prefix + reasoning.effort=none at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-full/logs/qwen__qwen3-235b-a22b-2507/unimoral_moral_typology/2026-05-28T02-25-33-00-00_unimoral-moral-typology_L3MkqdFTnfkWJ2P9VeKGxN.eval,accuracy,3492.0,3492.0,1274826,33261,0,0.093839,input + output + reasoning tokens at OpenRouter metadata rates,,L,UniMoral typology,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv
