family,task,task_label,metric,first_period,first_score,first_model,first_model_display,first_parameter_label,last_period,last_score,last_model,last_model_display,last_parameter_label,endpoint_delta,endpoint_direction,internal_reversal,observed_points,evidence_status,source_repository_head,source_path,release_period_source_path
DeepSeek,unimoral_action_prediction,UniMoral action,Accuracy,2025-Q1,0.4527550091074681,deepseek/deepseek-chat-v3-0324,DeepSeek V3-0324,671B main model / 37B active,2026-Q2,0.639344262295082,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,284B main model / 13B active,0.18658925318761393,higher,True,4,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv,data/model_release_periods.csv
DeepSeek,unimoral_consequence_generation,UniMoral consequence,METEOR,2025-Q1,0.1195314911325206,deepseek/deepseek-chat-v3-0324,DeepSeek V3-0324,671B main model / 37B active,2026-Q2,0.1385167738629878,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,284B main model / 13B active,0.018985282730467207,higher,True,4,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv,data/model_release_periods.csv
DeepSeek,unimoral_factor_attribution,UniMoral factor,Accuracy,2025-Q1,0.6291523482245132,deepseek/deepseek-chat-v3-0324,DeepSeek V3-0324,671B main model / 37B active,2026-Q2,0.5916380297823597,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,284B main model / 13B active,-0.03751431844215347,lower,False,4,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv,data/model_release_periods.csv
DeepSeek,unimoral_moral_typology,UniMoral typology,Accuracy,2025-Q1,0.5821878579610539,deepseek/deepseek-chat-v3-0324,DeepSeek V3-0324,671B main model / 37B active,2026-Q2,0.5790378006872853,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,284B main model / 13B active,-0.003150057273768603,lower,True,4,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv,data/model_release_periods.csv
DeepSeek,value_prism_relevance,ValuePrism relevance,Accuracy,2025-Q1,0.6530448717948718,deepseek/deepseek-chat-v3-0324,DeepSeek V3-0324,671B main model / 37B active,2025-Q4,0.6750228937728938,deepseek/deepseek-v3.2,DeepSeek V3.2,671B main model / 37B active,0.02197802197802201,higher,True,3,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv,data/model_release_periods.csv
DeepSeek,value_prism_valence,ValuePrism valence,Accuracy,2025-Q1,0.688507326007326,deepseek/deepseek-chat-v3-0324,DeepSeek V3-0324,671B main model / 37B active,2026-Q2,0.6266483516483516,deepseek/deepseek-v4-flash,DeepSeek V4 Flash,284B main model / 13B active,-0.06185897435897436,lower,True,4,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv,data/model_release_periods.csv
Qwen,unimoral_action_prediction,UniMoral action,Accuracy,2024-Q3,0.6349043715846995,qwen/qwen-2.5-7b-instruct,Qwen2.5-7B Instruct,7.61B total,2026-Q1,0.6527777777777778,qwen/qwen3.5-9b,Qwen3.5-9B,9B total,0.01787340619307831,higher,False,2,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv,data/model_release_periods.csv
Qwen,unimoral_consequence_generation,UniMoral consequence,METEOR,2024-Q3,0.123639627334226,qwen/qwen-2.5-7b-instruct,Qwen2.5-7B Instruct,7.61B total,2026-Q1,0.0968597096524713,qwen/qwen3.5-9b,Qwen3.5-9B,9B total,-0.026779917681754695,lower,False,2,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv,data/model_release_periods.csv
Qwen,unimoral_factor_attribution,UniMoral factor,Accuracy,2024-Q3,0.5730240549828178,qwen/qwen-2.5-7b-instruct,Qwen2.5-7B Instruct,7.61B total,2026-Q1,0.5750286368843069,qwen/qwen3.5-9b,Qwen3.5-9B,9B total,0.002004581901489111,higher,False,2,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv,data/model_release_periods.csv
Qwen,unimoral_moral_typology,UniMoral typology,Accuracy,2024-Q3,0.5555555555555556,qwen/qwen-2.5-7b-instruct,Qwen2.5-7B Instruct,7.61B total,2026-Q1,0.5979381443298969,qwen/qwen3.5-9b,Qwen3.5-9B,9B total,0.04238258877434131,higher,False,2,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv,data/model_release_periods.csv
Qwen,value_prism_relevance,ValuePrism relevance,Accuracy,2024-Q3,0.6236034798534799,qwen/qwen-2.5-7b-instruct,Qwen2.5-7B Instruct,7.61B total,2026-Q1,0.6730998168498169,qwen/qwen3.5-9b,Qwen3.5-9B,9B total,0.04949633699633704,higher,False,2,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv,data/model_release_periods.csv
Qwen,value_prism_valence,ValuePrism valence,Accuracy,2024-Q3,0.5231684981684982,qwen/qwen-2.5-7b-instruct,Qwen2.5-7B Instruct,7.61B total,2026-Q1,0.7100274725274726,qwen/qwen3.5-9b,Qwen3.5-9B,9B total,0.18685897435897436,higher,False,2,exploratory aggregate; no CI or raw-log replay,b3a348684692f615d789392692ce34a1359192d3,evidence/source-results/result_summary.csv,data/model_release_periods.csv
